1;Arsenal ;آرسنال;64;ac0317;
2;Aston Villa ;آستون ویلا;64;781c33;
3;AFC Bournemouth;بورنموث;64;120d0e;
4;Brentford ;برنتفورد;64;ac1014;
5;Brighton & Hove Albion ;برایتون;64;0053c7;
6;Burnley;برنلی;64;5f0a30;
7;Chelsea ;چلسی;64;293f95;
8;Crystal Palace ;کریستال پالاس;64;0447a0;
9;Everton ;اورتون;64;17477d;
10;Fulham ;فولهام;64;e6e5ea;
11;Liverpool ;لیورپول;64;b11926;
12;Luton Town;لوتون تاون;64;ee5833;
13;Manchester City ;منچستر سیتی;64;9bc1e2;
14;Manchester United ;منچستر یونایتد;64;da102e;
15;Newcastle United ;نیوکاسل;64;3a393f;
16;Nottingham Forest ;ناتینگهام فارست;64;e2393e;
17;Sheffield United;شفیلد یونایتد;64;f93e43;
18;Tottenham Hotspur ;تاتنهام ;64;f8f8fc;
19;West Ham United ;وست هم;64;701a2b;
20;Wolverhampton Wanderers;ولورهمپتون;64;f6c135;
21;Bayer 04 Leverkusen;بایرلورکوزن;76;
22;FC Bayern München;بایرن مونیخ;76;
23;VfB Stuttgart;اشتوتگارت;76;
24;RB Leipzig;لایپزیش;76;
25;Borussia Dortmund;بورسیا دورتموند;76;
26;Eintracht Frankfurt;اینتراخت فرانکفورت;76;
27;Sport-Club Freiburg;فرایبورگ;76;
28;FC Augsburg;آگسبورگ;76;
29;TSG Hoffenheim;هوفنهایم;76;
30;SV Werder Bremen;وردربرمن;76;
31;1. FC Heidenheim 1846;هایدنهایم;76;
32;VfL Wolfsburg;وولفسبورگ;76;
33;Borussia Mönchengladbach;بورسیا مونشن گلادباخ;76;
34;VfL Bochum 1848;بوخوم;76;
35;1. FC Union Berlin;یونیون برلین;76;
36;1. FSV Mainz 05;ماینتس;76;
37;FC Köln;کلن;76;
38;SV Darmstadt;دارمشتات;76;
39;Girona ;ژیرونا;175;
40;FC Barcelona;بارسلونا;175;
41;Atlético Madrid;اتلتیکو مادرید;175;
42;Real Madrid;رئال مادرید;175;
43;Athletic Club;اتلتیک بیلبائو;175;
44;Real Sociedad;رئال سوسیداد;175;
45;Real Betis;رئال بتیس;175;
46;Valencia CF;والنسیا;175;
47;Villarreal CF;ویارئال;175;
48;Getafe CF;ختافه;175;
49;CA Osasuna;اوساسونا;175;
50;Deportivo Alavés;دپورتیوو آلاوز;175;
51;Rayo Vallecano;رایووایکانو;175;
52;UD Las Palmas;لاس پالماس;175;
53;Sevilla FC;سویا;175;
54;RCD Mallorca;مایورکا;175;
55;RC Celta;سلتاویگو;175;
56;UD Almeria;آلمریا;175;
57;Granada CF;گرانادا;175;
58;Cadiz CF;کادیز;175;
59;Inter;اینتر;96;
60;AC Milan;میلان;96;
61;Juventus;یوونتوس;96;
62;Bologna;بلونیا;96;
63;AS Roma;آ اس رم;96;
64;Atalanta;آتالانتا;96;
65;SS Lazio;لاتزیو;96;
66;Napoli;ناپولی;96;
67;Fiorentina;فیورنتینا;96;
68;Torino;تورینو;96;
69;Monza;مونزا;96;
70;Genoa;جنوا;96;
71;Lecce;لچه;96;
72;Cagliari;کالیاری;96;
73;Hellas Verona;هلاس ورونا;96;
74;Frosinone;فروزینونه;96;
75;Empoli;امپولی;96;
76;Udinese;اودینزه;96;
77;Sassuolo;ساسولو;96;
78;Salernitana;سالرنیتانا;96;
79;Paris Saint-Germain;پاری سن ژرمن;73;
80;AS Monaco;موناکو;73;
81;Stade Brestois;برست;73;
82;Lille OSC;لیل;73;
83;OGC Nice;نیس;73;
84;RC Lens;لانس;73;
85;Olympique de Marseille;المپیک مارسی;73;
86;Olympique Lyonnais;المپیک لیون;73;
87;Stade Rennais;رن;73;
88;Toulouse FC;تولوز;73;
89;Stade de Reims;رنس;73;
90;Montpellier HSC;مون پلیه;73;
