1;Afghanistan;افغانستان
2;Albania;آلبانی
3;Algeria;الجزایر
4;American Samoa;ساموآی آمریکا
5;Andorra;آندورا
6;Angola;آنگولا
7;Anguilla;آنگویلا 
8;Antigua and Barbuda;آنتیگوآ و باربودا
9;Aotearoa New Zealand;نیوزلند
10;Argentina;آرژانتین
11;Armenia;ارمنستان
12;Aruba;آروبا
13;Australia;استرالیا
14;Austria;اتریش
15;Azerbaijan;آذربایجان
16;Bahamas;باهاماس
17;Bahrain;بحرین
18;Bangladesh;بنگلادش
19;Barbados;باربادوس
20;Belarus;بلاروس
21;Belgium;بلژیک
22;Belize;بلیز
23;Benin;بنین
24;Bermuda;برمودا
25;Bhutan;بوتان
26;Bolivia;بولیوی
27;Bosnia and Herzegovina;بوسنی و هرزگوین
28;Botswana;بوتسوانا
29;Brazil;برزیل
30;British Virgin Islands;جزایر ویرجین بریتانیا
31;Brunei Darussalam;برونئی دارالسلام
32;Bulgaria;بلغارستان
33;Burkina Faso;بروکینافاسو
34;Burundi;بوروندی
35;Cabo Verde;کیپ ورده
36;Cambodia;کامبوج
37;Cameroon;کامرون
38;Canada;کانادا
39;Cayman Islands;جزایر کیمن
40;Central African Republic;آفریقای مرکزی
41;Chad;چاد
42;Chile;شیلی
43;China PR;چین
44;Chinese Taipei;چین تایپه
45;Colombia;کلمبیا
46;Comoros;کومور
47;Congo;جمهوری کنگو
48;Congo DR;جمهوری دموکراتیک کنگو
49;Cook Islands;جزایر کوک
50;Costa Rica;کاستاریکا
51;Côte d'Ivoire;ساحل عاج
52;Croatia;کرواسی
53;Cuba;کوبا
54;Curaçao;کوراسائو
55;Cyprus;قبرس
56;Czechia;جمهوری چک
57;Denmark;دانمارک
58;Djibouti;جیبوتی
59;Dominica;دومنیکا
60;Dominican Republic;جمهوری دومینیکن
61;Ecuador;اکوادور
62;Egypt;مصر
63;El Salvador;السالوادور
64;England;انگلیس
65;Equatorial Guinea;گینه استوایی
66;Eritrea;اریتره
67;Estonia;استونی
68;Eswatini;اسواتینی
69;Ethiopia;اتیوپی
70;Faroe Islands;حزایر فارو
71;Fiji;فیجی
72;Finland;فنلاند
73;France;فرانسه
74;Gabon;گابن
75;Georgia;گرجستان
76;Germany;آلمان
77;Ghana;غنا
78;Gibraltar;جبل الطارق
79;Greece;یونان
80;Grenada;گرنادا
81;Guam;گوام
82;Guatemala;گواتمالا
83;Guinea;گینه
84;Guinea Bissau;گینه بیسائو
85;Guyana;گویان
86;Haiti;هائیتی
87;Honduras;هندوراس
88;Hong Kong;هنگ کنگ
89;Hungary;مجارستان
90;Iceland;ایسلند
91;India;هند
92;Indonesia;اندونزی
93;IR Iran;ایران
94;Iraq;عراق
95;Israel;اسرائیل
96;Italy;ایتالیا
97;Jamaica;جامائیکا
98;Japan;ژاپن
99;Jordan;اردن
100;Kazakhstan;قزاقستان
101;Kenya;کنیا
102;Korea DPR;کره شمالی
103;Korea Republic;کره جنوبی
104;Kosovo;کوزوو
105;Kuwait;کویت
106;Kyrgyz Republic;قرقیزستان
107;Laos;لائوس
108;Latvia;لتونی
109;Lebanon;لبنان
110;Lesotho;لسوتو
111;Liberia;لیبریا
112;Libya;لیبی
113;Liechtenstein;لیختن اشتاین
114;Lithuania;لیتوانی
115;Luxembourg;لوکزامبورگ
116;Macau;ماکائو
117;Madagascar;ماداگاسکار
118;Malawi;مالاوی
119;Malaysia;مالزی
120;Maldives;مالدیو
121;Mali;مالی
122;Malta;مالت
123;Mauritania;موریتانی
124;Mauritius;موریس
125;Mexico;مکزیک
126;Moldova;مولداوی
127;Mongolia;مغولستان
128;Montenegro;مونته نگرو
129;Montserrat;مونتسرات
130;Morocco;مراکش
131;Mozambique;موزامبیک
132;Myanmar;میانمار
133;Namibia;نامیبیا
134;Nepal;نپال
135;Netherlands;هلند
136;New Caledonia;کالدونیای جدید
137;Nicaragua;نیکاراگوئه
138;Niger;نیجر
139;Nigeria;نیجریه
140;North Macedonia;مقدونیه شمالی
141;Northern Ireland;ایرلند شمالی
142;Norway;نروژ
143;Oman;عمان
144;Pakistan;پاکستان
145;Palestine;فلسطین
146;Panama;پاناما
147;Papua New Guinea;پاپوآ گینه نو
148;Paraguay;پاراگوئه
149;Peru;پرو
150;Philippines;فیلیپین
151;Poland;لهستان
152;Portugal;پرتغال
153;Puerto Rico;پورتوریکو
154;Qatar;قطر
155;Republic of Ireland;جمهوری ایرلند
156;Romania;رومانی
157;Russia;روسیه
158;Rwanda;روآندا
159;Samoa;ساموا
160;San Marino;سن مارینو
161;São Tomé and Príncipe;سائوتومه و پرنسیپ
162;Saudi Arabia;عربستان سعودی
163;Scotland;اسکاتلند
164;Senegal;سنگال
165;Serbia;صربستان
166;Seychelles;سیشل
167;Sierra Leone;سیرالئون
168;Singapore;سنگاپور
169;Slovakia;اسلواکی
170;Slovenia;اسلوونی
171;Solomon Islands;جزایر سلیمان
172;Somalia;سومالی
173;South Africa;آفریقای جنوبی
174;South Sudan;سودان جنوبی
175;Spain;اسپانیا
176;Sri Lanka;سریلانکا
177;St Kitts and Nevis;سنت کیتس و نویس 
178;St Lucia;سنت لوسیا
179;St Vincent and the Grenadines;سنت وینسنت و گرنادین‌ها
180;Sudan;سودان
181;Suriname;سورینام
182;Sweden;سوئد
183;Switzerland;سوئیس
184;Syria;سوریه
185;Tahiti;تاهیتی
186;Tajikistan;تاجیکستان
187;Tanzania;تانزانیا
188;Thailand;تایلند
189;The Gambia;گامبیا
190;Timor-Leste;تیمور شرقی
191;Togo;توگو
192;Tonga;تونگا
193;Trinidad and Tobago;ترینیداد و توباگو
194;Tunisia;تونس
195;Türkiye;ترکیه
196;Turkmenistan;ترکمنستان
197;Turks and Caicos Islands;جزایر تورکس و کایکوس
198;Uganda;اوگاندا
199;Ukraine;اوکراین
200;United Arab Emirates;امارات متحده عربی
201;Uruguay;اروگوئه
202;US Virgin Islands;جزایر ویرجین ایالات متحده آمریکا
203;USA;آمریکا
204;Uzbekistan;ازبکستان
205;Vanuatu;وانواتو
206;Venezuela;ونزوئلا
207;Vietnam;ویتنام
208;Wales;ولز
209;Yemen;یمن
210;Zambia;زامبیا
211;Zimbabwe;زیمبابوه
